,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,30.03,30.03,0.000,,,,0.00000,72.0,
,A02,SYBR,,Unkn,,,30.30,30.30,0.000,,,,0.00000,72.0,
,A03,SYBR,,Unkn,,,30.20,30.20,0.000,,,,0.00000,72.0,
,A04,SYBR,,Unkn,,,29.18,29.18,0.000,,,,0.00000,72.0,
,A05,SYBR,,Unkn,,,29.34,29.34,0.000,,,,0.00000,72.0,
,A06,SYBR,,Unkn,,,29.57,29.57,0.000,,,,0.00000,72.0,
,A07,SYBR,,Unkn,,,31.96,31.96,0.000,,,,0.00000,72.0,
,A08,SYBR,,Unkn,,,30.90,30.90,0.000,,,,0.00000,72.0,
,A09,SYBR,,Unkn,,,29.65,29.65,0.000,,,,0.00000,72.0,
,A10,SYBR,,Unkn,,,29.82,29.82,0.000,,,,0.00000,72.0,
,A11,SYBR,,Unkn,,,29.85,29.85,0.000,,,,0.00000,72.0,
,A12,SYBR,,Unkn,,,29.59,29.59,0.000,,,,0.00000,72.0,
,A13,SYBR,,Unkn,,,27.68,27.68,0.000,,,,0.00000,72.0,
,A14,SYBR,,Unkn,,,27.60,27.60,0.000,,,,0.00000,72.0,
,A15,SYBR,,Unkn,,,27.92,27.92,0.000,,,,0.00000,72.0,
,A16,SYBR,,Unkn,,,27.96,27.96,0.000,,,,0.00000,72.0,
,A17,SYBR,,Unkn,,,27.84,27.84,0.000,,,,0.00000,72.0,
,A18,SYBR,,Unkn,,,28.21,28.21,0.000,,,,0.00000,72.0,
,A19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B01,SYBR,,Unkn,,,35.31,35.31,0.000,,,,0.00000,72.0,
,B02,SYBR,,Unkn,,,36.13,36.13,0.000,,,,0.00000,72.0,
,B03,SYBR,,Unkn,,,36.06,36.06,0.000,,,,0.00000,72.0,
,B04,SYBR,,Unkn,,,35.61,35.61,0.000,,,,0.00000,72.0,
,B05,SYBR,,Unkn,,,34.81,34.81,0.000,,,,0.00000,72.0,
,B06,SYBR,,Unkn,,,34.64,34.64,0.000,,,,0.00000,72.0,
,B07,SYBR,,Unkn,,,36.08,36.08,0.000,,,,0.00000,72.0,
,B08,SYBR,,Unkn,,,35.26,35.26,0.000,,,,0.00000,72.0,
,B09,SYBR,,Unkn,,,34.26,34.26,0.000,,,,0.00000,72.0,
,B10,SYBR,,Unkn,,,35.17,35.17,0.000,,,,0.00000,72.0,
,B11,SYBR,,Unkn,,,35.00,35.00,0.000,,,,0.00000,72.0,
,B12,SYBR,,Unkn,,,35.23,35.23,0.000,,,,0.00000,72.0,
,B13,SYBR,,Unkn,,,32.73,32.73,0.000,,,,0.00000,72.0,
,B14,SYBR,,Unkn,,,33.27,33.27,0.000,,,,0.00000,72.0,
,B15,SYBR,,Unkn,,,32.76,32.76,0.000,,,,0.00000,72.0,
,B16,SYBR,,Unkn,,,33.08,33.08,0.000,,,,0.00000,72.0,
