,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,Gene1,,,,,,
B,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,Gene2,,,,,,
C,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,Gene3,,,,,,
D,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,Gene4,,,,,,
E,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,Gene5,,,,,,
F,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,Gene6,,,,,,
G,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,Gene7,,,,,,
H,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,Gene8,,,,,,
I,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,Gene9,,,,,,
J,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,Gene10,,,,,,
K,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,Gene11,,,,,,
L,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,Gene12,,,,,,
M,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,Gene13,,,,,,
N,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,Gene14,,,,,,
O,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,Gene15,,,,,,
P,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,Hprt,,,,,,
