,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
B,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
C,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
D,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
E,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
F,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
G,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
H,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
I,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
J,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
K,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
L,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
M,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
N,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
O,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
P,RNA_142,RNA_142,RNA_142,RNA_143,RNA_143,RNA_143,RNA_144,RNA_144,RNA_144,RNA_145,RNA_145,RNA_145,RNA_146,RNA_146,RNA_146,RNA_147,RNA_147,RNA_147,NA,NA,NA,NA,NA,NA
