,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,27.75,27.75,0.000,,,,0.00000,72.0,
,A02,SYBR,,Unkn,,,28.09,28.09,0.000,,,,0.00000,72.0,
,A03,SYBR,,Unkn,,,27.88,27.88,0.000,,,,0.00000,72.0,
,A04,SYBR,,Unkn,,,28.52,28.52,0.000,,,,0.00000,72.0,
,A05,SYBR,,Unkn,,,28.47,28.47,0.000,,,,0.00000,72.0,
,A06,SYBR,,Unkn,,,28.58,28.58,0.000,,,,0.00000,72.0,
,A07,SYBR,,Unkn,,,29.77,29.77,0.000,,,,0.00000,72.0,
,A08,SYBR,,Unkn,,,29.47,29.47,0.000,,,,0.00000,72.0,
,A09,SYBR,,Unkn,,,28.41,28.41,0.000,,,,0.00000,72.0,
,A10,SYBR,,Unkn,,,28.16,28.16,0.000,,,,0.00000,72.0,
,A11,SYBR,,Unkn,,,28.40,28.40,0.000,,,,0.00000,72.0,
,A12,SYBR,,Unkn,,,28.11,28.11,0.000,,,,0.00000,72.0,
,A13,SYBR,,Unkn,,,28.51,28.51,0.000,,,,0.00000,72.0,
,A14,SYBR,,Unkn,,,28.43,28.43,0.000,,,,0.00000,72.0,
,A15,SYBR,,Unkn,,,28.97,28.97,0.000,,,,0.00000,72.0,
,A16,SYBR,,Unkn,,,29.46,29.46,0.000,,,,0.00000,72.0,
,A17,SYBR,,Unkn,,,28.89,28.89,0.000,,,,0.00000,72.0,
,A18,SYBR,,Unkn,,,29.16,29.16,0.000,,,,0.00000,72.0,
,A19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B01,SYBR,,Unkn,,,32.17,32.17,0.000,,,,0.00000,72.0,
,B02,SYBR,,Unkn,,,31.55,31.55,0.000,,,,0.00000,72.0,
,B03,SYBR,,Unkn,,,32.17,32.17,0.000,,,,0.00000,72.0,
,B04,SYBR,,Unkn,,,32.16,32.16,0.000,,,,0.00000,72.0,
,B05,SYBR,,Unkn,,,32.98,32.98,0.000,,,,0.00000,72.0,
,B06,SYBR,,Unkn,,,32.49,32.49,0.000,,,,0.00000,72.0,
,B07,SYBR,,Unkn,,,33.50,33.50,0.000,,,,0.00000,72.0,
,B08,SYBR,,Unkn,,,33.06,33.06,0.000,,,,0.00000,72.0,
,B09,SYBR,,Unkn,,,32.74,32.74,0.000,,,,0.00000,72.0,
,B10,SYBR,,Unkn,,,32.50,32.50,0.000,,,,0.00000,72.0,
,B11,SYBR,,Unkn,,,32.64,32.64,0.000,,,,0.00000,72.0,
,B12,SYBR,,Unkn,,,32.33,32.33,0.000,,,,0.00000,72.0,
,B13,SYBR,,Unkn,,,33.09,33.09,0.000,,,,0.00000,72.0,
,B14,SYBR,,Unkn,,,33.75,33.75,0.000,,,,0.00000,72.0,
,B15,SYBR,,Unkn,,,33.71,33.71,0.000,,,,0.00000,72.0,
,B16,SYBR,,Unkn,,,34.84,34.84,0.000,,,,0.00000,72.0,
,B17,SYBR,,Unkn,,,35.46,35.46,0.000,,,,0.00000,72.0,
,B18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,B24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C01,SYBR,,Unkn,,,21.48,21.48,0.000,,,,0.00000,72.0,
,C02,SYBR,,Unkn,,,21.64,21.64,0.000,,,,0.00000,72.0,
,C03,SYBR,,Unkn,,,21.37,21.37,0.000,,,,0.00000,72.0,
,C04,SYBR,,Unkn,,,22.40,22.40,0.000,,,,0.00000,72.0,
,C05,SYBR,,Unkn,,,23.36,23.36,0.000,,,,0.00000,72.0,
,C06,SYBR,,Unkn,,,32.59,32.59,0.000,,,,0.00000,72.0,
,C07,SYBR,,Unkn,,,23.23,23.23,0.000,,,,0.00000,72.0,
,C08,SYBR,,Unkn,,,23.09,23.09,0.000,,,,0.00000,72.0,
,C09,SYBR,,Unkn,,,21.96,21.96,0.000,,,,0.00000,72.0,
,C10,SYBR,,Unkn,,,22.18,22.18,0.000,,,,0.00000,72.0,
,C11,SYBR,,Unkn,,,22.08,22.08,0.000,,,,0.00000,72.0,
,C12,SYBR,,Unkn,,,22.35,22.35,0.000,,,,0.00000,72.0,
,C13,SYBR,,Unkn,,,22.47,22.47,0.000,,,,0.00000,72.0,
,C14,SYBR,,Unkn,,,22.55,22.55,0.000,,,,0.00000,72.0,
,C15,SYBR,,Unkn,,,22.69,22.69,0.000,,,,0.00000,72.0,
,C16,SYBR,,Unkn,,,23.06,23.06,0.000,,,,0.00000,72.0,
,C17,SYBR,,Unkn,,,22.77,22.77,0.000,,,,0.00000,72.0,
,C18,SYBR,,Unkn,,,23.19,23.19,0.000,,,,0.00000,72.0,
,C19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,C21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
